Jurisdiction,County,Government Type,Subject,Ballot Measure Text,Election Results,Yes %,No %,Election Month,Election Year,Duration in Years Levy/Fee,Amount of Levy (Per $1000 A/V),Tax Amount,Bond Amount,Funding Type/Statutory Authority
Carnation,King,City,"Criminal Justice, Other","Single-year levy lid lift (increase of $0.61 to $1.90, 6 years) for criminal justice services and to help stabilize the city's monetary reserves.",Failed,46.18,53.82,November,2011,Single-year (6 years),0.61,,,Levy Lid Lift (RCW 84.55.050)
Castle Rock,Cowlitz,City,Library,Excess levy ($0.50) for library maintenance and operation. <em>(Measure failed to meet turnout requirements.)</em>,Failed,68.56,31.44,August,2017,1,0.5,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Castle Rock,Cowlitz,City,Library,Excess levy ($0.50) for library services.,Passed,66.14,33.86,August,2016,1,0.5,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Castle Rock,Cowlitz,City,Library,Excess levy ($0.50) for library services.,Passed,61.11,38.89,August,2015,1,0.5,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Castle Rock,Cowlitz,City,Library,Excess levy ($0.50) for library services.,Passed,65.43,34.57,August,2014,1,0.5,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Castle Rock,Cowlitz,City,Library,Excess levy ($0.50) for library services.,Passed,64.56,35.44,August,2013,1,0.5,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Castle Rock,Cowlitz,City,Library,Excess levy ($0.50) for public library services.,Passed,62.32,37.68,February,2012,1,0.5,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Castle Rock City Transportation Benefit District,Cowlitz,Transportation Benefit District,Transportation,TBD sales tax (0.2%) for transportation improvements.,Passed,59.28,40.72,November,2012,,,0.002,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Central Kitsap Fire and Rescue,Kitsap,Fire Protection District,"Fire, EMS","Bonds (5 years, $6.7 million) for fire and life safety equipment.",Passed,63.37,36.63,November,2015,5,,,"6,725,000",Bond (RCW 84.52.056)
Central Kitsap Fire and Rescue,Kitsap,Fire Protection District,Fire,"Fire district excess levy (4 years, up to $0.26) for maintenance and operations.",Passed,60.93,39.07,November,2015,4,0.26,,,Fire District Excess Levy (RCW 84.52.130)
Central Kitsap Fire and Rescue,Kitsap,Fire Protection District,EMS,"EMS levy renewal (6 years, $0.50).",Passed,77.62,22.38,April,2015,6,0.5,,,EMS Levy (RCW 84.52.069)
Central Klickitat County Park and Recreation District,Klickitat,Park District,Parks and Recreation,"Park and recreation district regular levy (6 years, $0.27) for maintenance and operation of swimming pool and recreational facilities.",Passed,66.97,33.03,August,2017,6,0.27,,,Park and Recreation District Regular Levy (RCW 36.69.145)
Central Mason Fire and EMS,Mason,Fire Protection District,EMS,"EMS levy renewal (6 years, $0.50).",Passed,74.18,25.82,August,2015,6,0.5,,,EMS Levy (RCW 84.52.069)
Central Mason Fire and EMS,Mason,Fire Protection District,Fire,"Single-year levy lid lift (to $1.48, permanent) for fire district maintenance and operations.",Passed,54.25,45.75,August,2013,Single-year (permanent),1.48,,,Levy Lid Lift (RCW 84.55.050)
Central Mason Fire and EMS,Mason,Fire Protection District,Fire,"Fire district excess levy (2 years, $1.00) for fire district maintenance and operations.",Failed,37.58,62.42,November,2011,2,1,,,Fire District Excess Levy (RCW 84.52.130)
Central Whidbey Island Fire and Rescue,Island,Fire Protection District,Fire,"Bonds (20 years, $7.4 million) for fire headquarters renovations and expansion and three new fire engines.",Passed,66.94,33.06,November,2017,20,,,"7,376,000",Bond (RCW 84.52.056)
Centralia Transportation Benefit District,Lewis,Transportation Benefit District,Transportation,"TBD sales tax (10 years, 0.2%).",Passed,58.68,41.32,November,2015,10,,0.002,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Chehalis,Lewis,City,EMS,"EMS levy renewal (6 years, $0.50).",Passed,82.05,17.95,November,2015,6,0.5,,,EMS Levy (RCW 84.52.069)
Chehalis Transportation Benefit District,Lewis,Transportation Benefit District,Transportation,"TBD sales tax (10 years, 0.2%).",Passed,54.9,45.1,February,2017,10,,0.002,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Chelan County Fire Protection District No. 1 - Wenatchee,Chelan,Fire Protection District,"Fire, EMS","Multi-year levy lid lift (increase of $0.05 to $1.42, 6 years/permanent) to retain and hire seasonal wildland firefighters. Limit factor: 6% annually.",Passed,74.21,25.88,August,2017,"6, permanent",1.42,,,Levy Lid Lift (RCW 84.55.050)
Chelan County Fire Protection District No. 1 - Wenatchee,Chelan,Fire Protection District,"Annexation, Fire",Annexation of City of Wenatchee.,Passed,87.2,12.8,April,2015,,,,,N/A
Chelan County Fire Protection District No. 1 - Wenatchee,Chelan,Fire Protection District,Fire,"Single-year levy lid lift (to $1.50, permanent) for replacement of capital equipment and support of volunteer services.",Passed,78.28,21.72,August,2014,Single-year (permanent),1.5,,,Levy Lid Lift (RCW 84.55.050)
Chelan County Fire Protection District No. 3 - Leavenworth,Chelan,Fire Protection District,"Fire, EMS","Single-year levy lid lift (to $1.00, permanent) to maintain and improve fire and EMS.",Passed,77.11,22.89,August,2017,Permanent,1,,,Levy Lid Lift (RCW 84.55.050)
Chelan County Fire Protection District No. 3 - Leavenworth,Chelan,Fire Protection District,Annexation,Annexation into Chelan County Fire District No. 3.,Passed,86.04,13.96,November,2012,,,,,N/A
Chelan County Fire Protection District No. 5 - Mason,Chelan,Fire Protection District,"Fire, EMS","Single-year levy lid lift (to $0.89, 10 years) for volunteer fire department equipment, training, and administration.",Passed,53.32,46.68,February,2014,Single-year (10 years),0.89,,,Levy Lid Lift (RCW 84.55.050)
Chelan County Fire Protection District No. 5 - Mason,Chelan,Fire Protection District,"Fire, EMS","Single-year levy lid lift (to $1.02, 10 years) for volunteer fire department equipment and training to meet task force LOS recommendations.",Failed,41.22,58.78,August,2013,Single-year (10 years),1.02,,,Levy Lid Lift (RCW 84.55.050)
Chelan County Fire Protection District No. 5 - Mason,Chelan,Fire Protection District,"Fire, EMS","Bonds (20 years, $4.1 million) for volunteer fire department to acquire fire, rescue, and EMS equipment to meet the level of service recommendations of a task force.",Failed,34.89,65.11,August,2013,20,,,"4,135,000",Bond (RCW 84.52.056)
Chelan County Fire Protection District No. 6 - Monitor/Dryden/Cashmere/Peshastin/Blewett Pass,Chelan,Fire Protection District,Fire,"Single-year levy lid lift (to $0.78, permanent) for fire district services.",Failed,38.96,61.04,November,2011,Single-year (permanent),0.78,,,Levy Lid Lift (RCW 84.55.050)
Chelan County Fire Protection District No. 7 - Chelan Fire and Rescue,Chelan,Fire Protection District,"Fire, EMS","Single-year levy lid lift (to $1.16, permanent) for fire and emergency medical services.",Failed,42.56,57.44,November,2012,Single-year (permanent),1.16,,,Levy Lid Lift (RCW 84.55.050)
Chelan County Fire Protection District No. 8,Chelan,Fire Protection District,Fire,"Single-year levy lid lift (to $0.95, permanent) for volunteer firefighting services and capital equipment replacement.",Passed,66.33,33.67,November,2017,"1, permanent",0.95,,,Levy Lid Lift (RCW 84.55.050)
Chelan County Public Hospital District No. 2 - Lake Chelan Community Hospital,Chelan,Public Hospital District,Hospital,"Bonds (30 years, $20 million) to replace the Lake Chelan Community Hospital.",Passed,64.9,35.1,April,2017,30,,,"20,000,000",Bond (RCW 84.52.056)
Chelan County Public Hospital District No. 2 - Lake Chelan Community Hospital,Chelan,Public Hospital District,Hospital,"Bonds (30 years, $19 million) for a new hospital.",Failed,57.71,42.29,November,2014,30,,,"19,000,000",Bond (RCW 84.52.056)
Chelan County Public Hospital District No. 2 - Lake Chelan Community Hospital,Chelan,Public Hospital District,Hospital,"Bonds (25 years, $19 million) for new hospital and other capital improvements.",Failed,56.55,43.45,August,2012,25,,,"19,000,000",Bond (RCW 84.52.056)
Chelan County Upper Valley Park and Recreation Service Area,Chelan,Park District,Parks and Recreation,Park and recreation service area regular levy ($0.11) for swimming pool/aquatic center.,Passed,73.32,26.68,August,2012,6,0.11,,,Park and Recreation Service Area Regular Levy (RCW 36.68.525)
Chelan Public Hospital District No. 1 - Cascade Medical Center,Chelan,Public Hospital District,EMS,"EMS levy renewal (6 years, $0.50) for emergency room and ambulance services.",Passed,81.92,18.08,August,2012,6,0.5,,,EMS Levy (RCW 84.52.069)
Cheney,Spokane,City,"Criminal Justice, Fire, Parks and Recreation, Other","Single-year levy lid lift (increase of $0.70 to $3.10, permanent) for police, fire, swimming pool, and other governmental services.",Passed,59.32,40.68,November,2015,Single-year (permanent),3.1,,,Levy Lid Lift (RCW 84.55.050)
Cheney,Spokane,City,EMS,"EMS levy renewal (6 years, $0.50).",Passed,80.74,19.26,August,2012,6,0.5,,,EMS Levy (RCW 84.52.069)
Cheney,Spokane,City,Transportation,"Utility tax extension (15 years, 4%) on electricity and natural gas businesses for continued repair and replacement of residential streets and sidewalks.",Passed,75.81,24.19,August,2012,15,,0.04,,Utility Tax Increase (RCW 35.21.870)
Chewelah,Stevens,City,"Annexation, Library",Annexation into Stevens County Rural Library District.,Passed,85.73,14.27,April,2013,,,,,N/A
Clallam County,Clallam,County,Criminal Justice,Juvenile detention and jail sales tax (0.1%) for maintenance and operation of the juvenile detention center.,Passed,61.73,38.27,November,2017,,,0.001,,Juvenile Detention Facilities and Jails Sales Tax (RCW 82.14.350)
Clallam County,Clallam,County,Government Organization,County charter amendment to use the same language as state law when referencing vacant nonpartisan offices or offices that were previously held by an official who did not state a preference for a political party.,Passed,83.13,16.87,November,2016,,,,,N/A
Clallam County,Clallam,County,Government Organization,"County charter amendment to require employees contesting suspension or dismissal to choose either a hearing prescribed by county policies or a public hearing before the board of county commissioners, not both.",Passed,75.4,24.6,November,2016,,,,,N/A
Clallam County,Clallam,County,Government Organization,"County charter amendment requiring all commissioners to be elected by district, rather than at-large.",Passed,62.63,37.37,November,2015,,,,,N/A
Clallam County,Clallam,County,Government Organization,County charter amendment requiring charter review every 5 years instead of 8.,Passed,60.7,39.3,November,2015,,,,,N/A
Clallam County,Clallam,County,Government Organization,County charter amendment requiring qualified initiatives to be proposed directly to the voters without prior consideration or action by the board of county commissioners.,Passed,63.24,36.76,November,2015,,,,,N/A
Clallam County,Clallam,County,Government Organization,County charter amendment requiring qualified referenda to be proposed directly to the voters without prior consideration or action by the board of county commissioners.,Passed,62.34,37.66,November,2015,,,,,N/A
Clallam County,Clallam,County,Government Organization,County charter amendment increasing the signature gathering period for initiatives from 90 to 120 days.,Passed,58.69,41.31,November,2015,,,,,N/A
Clallam County,Clallam,County,Government Organization,County charter amendment requiring the Director of the Department of Community Development to become an appointed office instead of an elected office.,Failed,35.22,64.78,November,2015,,,,,N/A
Clallam County,Clallam,County,Government Organization,County charter amendment requiring charter interpretations to afford the county those powers conferred to charter counties under state law and the home rule charter.,Passed,61.35,38.65,November,2015,,,,,N/A
Clallam County,Clallam,County,Government Organization,"County charter amendment requiring charter review commissioner terms to begin on January 1, instead of the day of their election.",Passed,84.71,15.29,November,2015,,,,,N/A
Clallam County Fire District No 2.,Clallam,Fire Protection District,Fire,"Single-year levy lid lift (to $1.07, permanent) for fire district maintenance and operations.",Passed,61.55,38.45,November,2014,Single-year (permanent),1.07,,,Levy Lid Lift (RCW 84.55.050)
Clallam County Fire District No 2.,Clallam,Fire Protection District,"Fire, EMS","Single-year levy lid lift (to $1.15, permanent) for fire and EMS.",Failed,42.35,57.65,November,2013,Single-year (permanent),1.15,,,Levy Lid Lift (RCW 84.55.050)
Clallam-Jefferson County Fire Protection District No. 1,"Clallam, Jefferson",Fire Protection District,Fire,"Multi-year levy lid lift (to $0.75, 6 years/permanent) to fund a paid fire chief position and maintain or increase staffing and service levels. Limit factor: 3% annually.",Passed,50.56,49.44,November,2015,Multi-year (6 years/permanent),0.75,,,Levy Lid Lift (RCW 84.55.050)
Clark County,Clark,County,Government Organization,Adopting a home rule charter. Replaces the 3-member board of commissioners with a 5-member council (4 elected by district with the chair at-large) and establishes an appointed county manager.,Passed,53.35,46.65,November,2014,,,,,N/A
Clark County,Clark,County,Transportation,Advisory vote on whether to support a proposed toll-free East County Bridge and a community embraced projects policy.,Advisory,52.85,47.15,November,2014,,,,,N/A
Clark County,Clark,County,Other,Advisory vote on whether county commissioners should approve a resolution opposing any light rail project unless it it first supported by a majority of voters in a countywide advisory vote. (â€œPassâ€ indicates commissioners should oppose light rail.),Passed,68.39,31.61,November,2013,,,,,N/A
Clark County,Clark,County,Other,Advisory vote on whether county commissioners should approve a resolution opposing any bus rapid transit project unless it it first supported by a majority of voters in a countywide advisory vote. (â€œPassâ€ indicates commissioners should oppose bus rapid transit.),Passed,62.79,37.21,November,2013,,,,,N/A
Clark County,Clark,County,Other,Advisory vote on whether county commissioners should approve a resolution supporting a proposed East County toll-free bridge. (â€œPassâ€ indicates commissioners should support the bridge.),Passed,57.73,42.27,November,2013,,,,,N/A
Clark County,Clark,County,Other,Advisory vote on whether county commissioners should approve a resolution creating a board policy supporting a proposed I-5 toll-free bridge replacement. (â€œPassâ€ indicates commissioners should support proposed bridge replacement.),Passed,55.71,44.29,November,2013,,,,,N/A
Clark County,Clark,County,Other,Advisory vote on whether county commissioners should approve a resolution supporting a proposed West County toll-free bridge. (â€œPassâ€ indicates commissioners should support the bridge.),Failed,49.97,50.03,November,2013,,,,,N/A
Clark County,Clark,County,Other,"Advisory vote on whether county should ban the use of fireworks in unincorporated areas except for July 4, and limit the sale of fireworks to July 2-4. <em>(Voters supported the restrictions, but the county took no immediate action in part due to the departure of a key staffer who worked on fireworks issues.)</em>",Advisory,60.26,39.74,November,2013,,,,,N/A
Clark County Emergency Medical Service District No. 1,Clark,Emergency Medical Services District,EMS,"Excess levy ($1.40) for maintenance, operation, and staff salaries for North Country Emergency Medical Service.",Passed,80.43,19.57,August,2017,1,1.4,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
